group,layer,head,enrichment_date
seen_unknown,6,4,0.6324001550674438
seen_unknown,6,5,0.7879252433776855
seen_unknown,6,6,0.5110306739807129
seen_unknown,6,7,0.5823164582252502
seen_unknown,6,8,1.0427473783493042
seen_unknown,6,9,0.677480161190033
seen_unknown,6,10,0.9723211526870728
seen_unknown,6,11,0.7117369771003723
seen_unknown,7,0,1.0235644578933716
seen_unknown,7,1,0.7775236964225769
seen_unknown,7,2,0.5760577917098999
seen_unknown,7,3,0.7336130738258362
seen_unknown,7,4,0.41443365812301636
seen_unknown,7,5,0.8287007808685303
seen_unknown,7,6,0.8710372447967529
seen_unknown,7,7,0.358071506023407
seen_unknown,7,8,0.9766077995300293
seen_unknown,7,9,0.45657628774642944
seen_unknown,7,10,0.4395194351673126
seen_unknown,7,11,0.5674254298210144
seen_unknown,8,0,0.6611986756324768
seen_unknown,8,1,0.5163115859031677
seen_unknown,8,2,0.4888334274291992
seen_unknown,8,3,0.5815430879592896
seen_unknown,8,4,0.2832055389881134
seen_unknown,8,5,0.4151362180709839
seen_unknown,8,6,0.953529953956604
seen_unknown,8,7,0.9879777431488037
seen_unknown,8,8,0.18267729878425598
seen_unknown,8,9,0.9339939951896667
seen_unknown,8,10,0.5726043581962585
seen_unknown,8,11,0.9146068692207336
seen_unknown,9,0,0.3899289667606354
seen_unknown,9,1,0.6100525259971619
seen_unknown,9,2,0.5691616535186768
seen_unknown,9,3,0.25194910168647766
seen_unknown,9,4,0.9887111783027649
seen_unknown,9,5,0.7047265768051147
seen_unknown,9,6,0.446839839220047
seen_unknown,9,7,0.5990827083587646
seen_unknown,9,8,0.4496249556541443
seen_unknown,9,9,0.6808797717094421
seen_unknown,9,10,0.32632747292518616
seen_unknown,9,11,0.42791369557380676
seen_unknown,10,0,0.3039145767688751
seen_unknown,10,1,0.27283766865730286
seen_unknown,10,2,0.5047450065612793
seen_unknown,10,3,0.3186289966106415
seen_unknown,10,4,0.9863474369049072
seen_unknown,10,5,0.7069450616836548
seen_unknown,10,6,0.18037129938602448
seen_unknown,10,7,0.15036974847316742
seen_unknown,10,8,0.539961040019989
seen_unknown,10,9,0.7506299614906311
seen_unknown,10,10,0.1713184118270874
seen_unknown,10,11,0.5609302520751953
seen_unknown,11,0,0.01123807206749916
seen_unknown,11,1,0.22128243744373322
seen_unknown,11,2,0.11836067587137222
seen_unknown,11,3,0.2920490503311157
seen_unknown,11,4,0.005688591860234737
seen_unknown,11,5,0.10645879805088043
seen_unknown,11,6,0.586802065372467
seen_unknown,11,7,0.3550909161567688
seen_unknown,11,8,0.026079898700118065
seen_unknown,11,9,0.4799100160598755
seen_unknown,11,10,0.0647851899266243
seen_unknown,11,11,0.06420071423053741
is_words,0,0,1.0595226287841797
is_words,0,1,1.0235275030136108
is_words,0,2,1.0132081508636475
is_words,0,3,1.0085324048995972
